step,quantile3_flops,quantile9_flops,quantile27_flops,quantile81_flops,our_model_flops
1,207360,345600,760320,2004480,1603584
2,373248,622080,1368576,3608064,3207168
3,559872,933120,2052864,5412096,3373056
4,725760,1209600,2661120,7015680,4976640
5,891648,1486080,3269376,8619264,6580224
6,1036800,1728000,3801600,10022400,8183808
7,1202688,2004480,4409856,11625984,10188288
8,1347840,2246400,4942080,13029120,11791872
9,1513728,2522880,5550336,14632704,13395456
10,1721088,2868480,6310656,16637184,14999040
11,1886976,3144960,6918912,18240768,16602624
12,2052864,3421440,7527168,19844352,18206208
13,2260224,3767040,8287488,21848832,19809792
14,2426112,4043520,8895744,23452416,20418048
15,2633472,4389120,9656064,25456896,21026304
16,2799360,4665600,10264320,27060480,22830336
17,3006720,5011200,11024640,29064960,24433920
18,3214080,5356800,11784960,31069440,26237952
19,3421440,5702400,12545280,33073920,27841536
20,3587328,5978880,13153536,34677504,28449792
21,3753216,6255360,13761792,36281088,29134080
22,3939840,6566400,14446080,38085120,30737664
23,4105728,6842880,15054336,39688704,32541696
24,4250880,7084800,15586560,41091840,34145280
25,4437504,7395840,16270848,42895872,35949312
26,4644864,7741440,17031168,44900352,37953792
27,4831488,8052480,17715456,46704384,39757824
28,4997376,8328960,18323712,48307968,41361408
29,5163264,8605440,18931968,49911552,43165440
30,5329152,8881920,19540224,51515136,44969472
31,5515776,9192960,20224512,53319168,45577728
32,5723136,9538560,20984832,55323648,46490112
33,5909760,9849600,21669120,57127680,48294144
34,6075648,10126080,22277376,58731264,49697280
35,6262272,10437120,22961664,60535296,51501312
36,6469632,10782720,23721984,62539776,53305344
37,6676992,11128320,24482304,64544256,55109376
38,6801408,11335680,24938496,65746944,56913408
39,6967296,11612160,25546752,67350528,58717440
40,7112448,11854080,26078976,68753664,60922368
41,7257600,12096000,26611200,70156800,62726400
42,7402752,12337920,27143424,71559936,64530432
43,7547904,12579840,27675648,72963072,66334464
44,7693056,12821760,28207872,74366208,67737600
45,7879680,13132800,28892160,76170240,69742080
46,8024832,13374720,29424384,77573376,71345664
47,8211456,13685760,30108672,79377408,72949248
48,8356608,13927680,30640896,80780544,74552832
49,8501760,14169600,31173120,82183680,76156416
50,8646912,14411520,31705344,83586816,77760000
51,8812800,14688000,32313600,85190400,79363584
52,8978688,14964480,32921856,86793984,80967168
53,9144576,15240960,33530112,88397568,82570752
54,9310464,15517440,34138368,90001152,83773440
55,9476352,15793920,34746624,91604736,85577472
56,9642240,16070400,35354880,93208320,86980608
57,9808128,16346880,35963136,94811904,87512832
58,9974016,16623360,36571392,96415488,88045056
59,10139904,16899840,37179648,98019072,89448192
60,10305792,17176320,37787904,99622656,89980416
61,10471680,17452800,38396160,101226240,90512640
62,10637568,17729280,39004416,102829824,91915776
63,10782720,17971200,39536640,104232960,93318912
64,10927872,18213120,40068864,105636096,94722048
65,11093760,18489600,40677120,107239680,96125184
66,11259648,18766080,41285376,108843264,97728768
67,11425536,19042560,41893632,110446848,99332352
68,11591424,19319040,42501888,112050432,100935936
69,11798784,19664640,43262208,114054912,102539520
70,11964672,19941120,43870464,115658496,104143104
71,12089088,20148480,44326656,116861184,105746688
72,12254976,20424960,44934912,118464768,106354944
73,12420864,20701440,45543168,120068352,106963200
74,12586752,20977920,46151424,121671936,108566784
75,12752640,21254400,46759680,123275520,110170368
76,12939264,21565440,47443968,125079552,111773952
77,13105152,21841920,48052224,126683136,113377536
78,13271040,22118400,48660480,128286720,114981120
79,13436928,22394880,49268736,129890304,116584704
80,13602816,22671360,49876992,131493888,117987840
81,13768704,22947840,50485248,133097472,119591424
82,13934592,23224320,51093504,134701056,121195008
83,14100480,23500800,51701760,136304640,122798592
84,14266368,23777280,52310016,137908224,124402176
85,14432256,24053760,52918272,139511808,126005760
86,14598144,24330240,53526528,141115392,127609344
87,14764032,24606720,54134784,142718976,129212928
88,14929920,24883200,54743040,144322560,130816512
89,15075072,25125120,55275264,145725696,132420096
90,15282432,25470720,56035584,147730176,134224128
91,15469056,25781760,56719872,149534208,135827712
92,15676416,26127360,57480192,151538688,137631744
93,15863040,26438400,58164480,153342720,139235328
94,16091136,26818560,59000832,155547648,140838912
95,16257024,27095040,59609088,157151232,142041600
96,16422912,27371520,60217344,158754816,143645184
97,16588800,27648000,60825600,160358400,145048320
98,16754688,27924480,61433856,161961984,146451456
99,16920576,28200960,62042112,163565568,147854592
100,17086464,28477440,62650368,165169152,147999744
101,17273088,28788480,63334656,166973184,150004224
102,17438976,29064960,63942912,168576768,150536448
103,17604864,29341440,64551168,170180352,151144704
104,17770752,29617920,65159424,171783936,151421184
105,17936640,29894400,65767680,173387520,153425664
106,18123264,30205440,66451968,175191552,155229696
107,18309888,30516480,67136256,176995584,156632832
108,18475776,30792960,67744512,178599168,158436864
109,18641664,31069440,68352768,180202752,159840000
110,18807552,31345920,68961024,181806336,161443584
111,18973440,31622400,69569280,183409920,161899776
112,19180800,31968000,70329600,185414400,162432000
113,19408896,32348160,71165952,187619328,162964224
114,19595520,32659200,71850240,189423360,163572480
115,19761408,32935680,72458496,191026944,165176064
116,19948032,33246720,73142784,192830976,166579200
117,20134656,33557760,73827072,194635008,168182784
118,20321280,33868800,74511360,196439040,169786368
119,20487168,34145280,75119616,198042624,171389952
120,20673792,34456320,75803904,199846656,172993536
121,20839680,34732800,76412160,201450240,174597120
122,21047040,35078400,77172480,203454720,175281408
123,21192192,35320320,77704704,204857856,175889664
124,21358080,35596800,78312960,206461440,176497920
125,21523968,35873280,78921216,208065024,178101504
126,21689856,36149760,79529472,209668608,179705088
127,21855744,36426240,80137728,211272192,181308672
128,22042368,36737280,80822016,213076224,182912256
129,22228992,37048320,81506304,214880256,184515840
130,22415616,37359360,82190592,216684288,186119424
131,22602240,37670400,82874880,218488320,187723008
132,22768128,37946880,83483136,220091904,189126144
133,22975488,38292480,84243456,222096384,191130624
134,23141376,38568960,84851712,223699968,191662848
135,23307264,38845440,85459968,225303552,192271104
136,23493888,39156480,86144256,227107584,192879360
137,23659776,39432960,86752512,228711168,194883840
138,23846400,39744000,87436800,230515200,196687872
139,24053760,40089600,88197120,232519680,198692352
140,24240384,40400640,88881408,234323712,200095488
141,24427008,40711680,89565696,236127744,201699072
142,24613632,41022720,90249984,237931776,203302656
143,24779520,41299200,90858240,239535360,204062976
144,24945408,41575680,91466496,241138944,204899328
145,25111296,41852160,92074752,242742528,205507584
146,25297920,42163200,92759040,244546560,207111168
147,25443072,42405120,93291264,245949696,208514304
148,25608960,42681600,93899520,247553280,210719232
149,25795584,42992640,94583808,249357312,212122368
150,25961472,43269120,95192064,250960896,213325056
151,26168832,43614720,95952384,252965376,214728192
152,26355456,43925760,96636672,254769408,216933120
153,26521344,44202240,97244928,256372992,218336256
154,26687232,44478720,97853184,257976576,220340736
155,26853120,44755200,98461440,259580160,222144768
156,27039744,45066240,99145728,261384192,224149248
157,27226368,45377280,99830016,263188224,225552384
158,27412992,45688320,100514304,264992256,227155968
159,27578880,45964800,101122560,266595840,228759552
160,27744768,46241280,101730816,268199424,230764032
161,27910656,46517760,102339072,269803008,232968960
162,28076544,46794240,102947328,271406592,234973440
163,28263168,47105280,103631616,273210624,236777472
164,28429056,47381760,104239872,274814208,238781952
165,28615680,47692800,104924160,276618240,240185088
166,28802304,48003840,105608448,278422272,241788672
167,28968192,48280320,106216704,280025856,243392256
168,29196288,48660480,107053056,282230784,245396736
169,29362176,48936960,107661312,283834368,247601664
170,29590272,49317120,108497664,286039296,249806592
171,29776896,49628160,109181952,287843328,251811072
172,29922048,49870080,109714176,289246464,254016000
173,30087936,50146560,110322432,290850048,255619584
174,30253824,50423040,110930688,292453632,257423616
175,30440448,50734080,111614976,294257664,259227648
176,30627072,51045120,112299264,296061696,261432576
177,30792960,51321600,112907520,297665280,263837952
178,30979584,51632640,113591808,299469312,265441536
179,31145472,51909120,114200064,301072896,267045120
180,31373568,52289280,115036416,303277824,268648704
181,31539456,52565760,115644672,304881408,270252288
182,31746816,52911360,116404992,306885888,272457216
183,31912704,53187840,117013248,308489472,274461696
184,32078592,53464320,117621504,310093056,276666624
185,32244480,53740800,118229760,311696640,278270208
186,32410368,54017280,118838016,313300224,280074240
187,32596992,54328320,119522304,315104256,281878272
188,32783616,54639360,120206592,316908288,284083200
189,32949504,54915840,120814848,318511872,286488576
190,33115392,55192320,121423104,320115456,288292608
191,33302016,55503360,122107392,321919488,290096640
192,33467904,55779840,122715648,323523072,290856960
193,33675264,56125440,123475968,325527552,291617280
194,33882624,56471040,124236288,327532032,292377600
195,34069248,56782080,124920576,329336064,294181632
196,34235136,57058560,125528832,330939648,295785216
197,34380288,57300480,126061056,332342784,297789696
198,34566912,57611520,126745344,334146816,299794176
199,34774272,57957120,127505664,336151296,301598208
200,34960896,58268160,128189952,337955328,303402240
201,35168256,58613760,128950272,339959808,305005824
202,35354880,58924800,129634560,341763840,306609408
203,35541504,59235840,130318848,343567872,308212992
204,35728128,59546880,131003136,345371904,310017024
205,35894016,59823360,131611392,346975488,311821056
206,36059904,60099840,132219648,348579072,313625088
207,36246528,60410880,132903936,350383104,315228672
208,36453888,60756480,133664256,352387584,316832256
209,36640512,61067520,134348544,354191616,318435840
210,36847872,61413120,135108864,356196096,320039424
211,37055232,61758720,135869184,358200576,321643008
212,37241856,62069760,136553472,360004608,323447040
213,37469952,62449920,137389824,362209536,325251072
214,37635840,62726400,137998080,363813120,327055104
215,37801728,63002880,138606336,365416704,328859136
216,37946880,63244800,139138560,366819840,329045760
217,38092032,63486720,139670784,368222976,330649344
218,38257920,63763200,140279040,369826560,332052480
219,38423808,64039680,140887296,371430144,333455616
220,38568960,64281600,141419520,372833280,335059200
221,38714112,64523520,141951744,374236416,336662784
222,38859264,64765440,142483968,375639552,338065920
223,39025152,65041920,143092224,377243136,339869952
224,39170304,65283840,143624448,378646272,341473536
225,39336192,65560320,144232704,380249856,343277568
226,39481344,65802240,144764928,381652992,345081600
227,39626496,66044160,145297152,383056128,346885632
228,39771648,66286080,145829376,384459264,348890112
229,39916800,66528000,146361600,385862400,351495936
230,40061952,66769920,146893824,387265536,353099520
231,40227840,67046400,147502080,388869120,354502656
232,40393728,67322880,148110336,390472704,356306688
233,40559616,67599360,148718592,392076288,358311168
234,40725504,67875840,149326848,393679872,359914752
235,40891392,68152320,149935104,395283456,361919232
236,41057280,68428800,150543360,396887040,363522816
237,41223168,68705280,151151616,398490624,365126400
238,41389056,68981760,151759872,400094208,367331328
239,41554944,69258240,152368128,401697792,369736704
240,41720832,69534720,152976384,403301376,371340288
241,41886720,69811200,153584640,404904960,372943872
242,42052608,70087680,154192896,406508544,374547456
243,42218496,70364160,154801152,408112128,376151040
244,42384384,70640640,155409408,409715712,378355968
245,42550272,70917120,156017664,411319296,380360448
246,42716160,71193600,156625920,412922880,382565376
247,42882048,71470080,157234176,414526464,384168960
248,43047936,71746560,157842432,416130048,385972992
249,43234560,72057600,158526720,417934080,387777024
250,43400448,72334080,159134976,419537664,389981952
251,43545600,72576000,159667200,420940800,392387328
252,43711488,72852480,160275456,422544384,393990912
253,43877376,73128960,160883712,424147968,395594496
254,44043264,73405440,161491968,425751552,397198080
255,44209152,73681920,162100224,427355136,398801664
256,44375040,73958400,162708480,428958720,400405248
257,44540928,74234880,163316736,430562304,402008832
258,44748288,74580480,164077056,432566784,403612416
259,44893440,74822400,164609280,433969920,404220672
260,45059328,75098880,165217536,435573504,404828928
261,45266688,75444480,165977856,437577984,405437184
262,45453312,75755520,166662144,439382016,407040768
263,45660672,76101120,167422464,441386496,407801088
264,45868032,76446720,168182784,443390976,408637440
265,46033920,76723200,168791040,444994560,410641920
266,46179072,76965120,169323264,446397696,411478272
267,46407168,77345280,170159616,448602624,412086528
268,46593792,77656320,170843904,450406656,413890560
269,46780416,77967360,171528192,452210688,415694592
270,46967040,78278400,172212480,454014720,417899520
271,47174400,78624000,172972800,456019200,420304896
272,47361024,78935040,173657088,457823232,422509824
273,47568384,79280640,174417408,459827712,424514304
274,47775744,79626240,175177728,461832192,426719232
275,47962368,79937280,175862016,463636224,428322816
276,48128256,80213760,176470272,465239808,429007104
277,48335616,80559360,177230592,467244288,429691392
278,48501504,80835840,177838848,468847872,431896320
279,48667392,81112320,178447104,470451456,434301696
280,48833280,81388800,179055360,472055040,436105728
281,49019904,81699840,179739648,473859072,437909760
282,49206528,82010880,180423936,475663104,439713792
283,49434624,82391040,181260288,477868032,441517824
284,49641984,82736640,182020608,479872512,443722752
285,49807872,83013120,182628864,481476096,445727232
286,49994496,83324160,183313152,483280128,447932160
287,50201856,83669760,184073472,485284608,449535744
